# SR785 Transfer Function Measurement
#Title: 2017-03-10.145346
#Memo: 
#Instrument ID: Stanford_Research_Systems,SR785,s/n77547,ver220
#
#---------- Given Arguments ----------
#Coherence: True
#arMode: UpOnly
#excAmp: .5
#filename: outputs/2017-03-10.145346
#gpibAddress: 10
#inputCoupling1: DC
#inputCoupling2: DC
#inputGND1: Float
#inputGND2: Float
#inputRange1: 
#inputRange2: 
#intCycles: 20
#ipAddress: gpib2.mit.edu
#memo: 
#numOfPoints: 200
#settleCycles: 2
#skipReset: False
#startFreq: 100000Hz
#stopFreq: 1Hz
#sweepType: Log
#title: 2017-03-10.145346
#
#---------- Measurement Parameters ----------
#Measurement Group: Swept Sine, Swept Sine, Swept Sine
#Measurements: Frequency Response, Frequency Response, Normalized variance 2
#View: Log Magnitude, Phase, Linear Magnitude
#Unit: dB, deg,  
#
#---------- Input Parameters ----------
#Input Source: Analog
#Input Mode: Single ended, Single ended
#Input Grounding: Float, Float
#Input Coupling: AC, AC
#Input Range: -36.0dBVpk, -22.0dBVpk
#Auto Range: On, On
#Auto Range Mode: Up Only, Normal
#Anti-Aliasing Filter: On, On
#
#---------- Measurement Setup ------------
#Start frequency = 100000.0
#Stop frequency = 1.0
#Number of frequency points = 201
#Excitation amplitude = 0.5mVpp
#Settling cycles = 2
#Integration cycles = 20
#
#---------- Instrument Data -----------
## Freqency(Hz) Magnitude(dB) Phase(deg) Coherence
1.2173827e+02 3.2851322e+01 -9.1207893e+01 9.9997836e-01 
1.2898903e+02 3.2374203e+01 -8.8961571e+01 9.9997425e-01 
1.3667164e+02 3.2029240e+01 -8.9259537e+01 9.9999821e-01 
1.4481182e+02 3.1648531e+01 -8.7906540e+01 9.9999464e-01 
1.5343684e+02 3.1011814e+01 -8.7591652e+01 9.9994308e-01 
1.6257557e+02 3.0800493e+01 -8.7394615e+01 9.9999660e-01 
1.7225860e+02 2.9688602e+01 -8.7022957e+01 9.9999815e-01 
1.8251835e+02 2.9230501e+01 -8.5514671e+01 9.9999750e-01 
1.9338918e+02 2.9138941e+01 -8.7580246e+01 9.9999797e-01 
2.0490747e+02 2.8801758e+01 -8.5330734e+01 9.9999785e-01 
2.1711179e+02 2.8492785e+01 -8.4177879e+01 9.9993545e-01 
2.3004301e+02 2.8053238e+01 -8.2354439e+01 9.9999797e-01 
2.4374442e+02 2.7419868e+01 -8.0689941e+01 9.9991733e-01 
2.5826188e+02 2.7208712e+01 -8.3966988e+01 9.9999303e-01 
2.7364400e+02 2.6797831e+01 -8.3248047e+01 9.9999779e-01 
2.8994229e+02 2.6580067e+01 -8.2740898e+01 9.9998146e-01 
3.0721130e+02 2.5573074e+01 -8.1849625e+01 9.9993503e-01 
3.2550886e+02 2.5678310e+01 -8.1029343e+01 9.9991423e-01 
3.4489623e+02 2.5150669e+01 -8.1867989e+01 9.9999374e-01 
3.6543831e+02 2.4814194e+01 -8.2268341e+01 9.9996114e-01 
3.8720388e+02 2.4370417e+01 -8.1231583e+01 9.9999738e-01 
4.1026581e+02 2.4278578e+01 -8.1023643e+01 9.9999470e-01 
4.3470132e+02 2.3867086e+01 -8.1408089e+01 9.9999130e-01 
4.6059220e+02 2.3111288e+01 -8.3075592e+01 9.9999964e-01 
4.8802516e+02 2.3152702e+01 -8.0002518e+01 9.9998343e-01 
5.1709202e+02 2.2685169e+01 -8.2910606e+01 9.9999589e-01 
5.4789012e+02 2.2363159e+01 -8.2734718e+01 9.9982119e-01 
5.8052255e+02 2.2105913e+01 -8.4662132e+01 9.9999434e-01 
6.1509858e+02 2.1382551e+01 -8.2198242e+01 9.9996084e-01 
6.5173396e+02 2.0944160e+01 -8.3735680e+01 9.9987638e-01 
6.9055135e+02 2.0738985e+01 -8.5361160e+01 9.9998796e-01 
7.3168071e+02 2.0148418e+01 -8.3722641e+01 9.9991840e-01 
7.7525975e+02 1.9829044e+01 -8.6456192e+01 9.9993616e-01 
8.2143436e+02 1.9621048e+01 -8.7432343e+01 9.9999821e-01 
8.7035914e+02 1.9187418e+01 -8.8677727e+01 9.9999672e-01 
9.2219788e+02 1.8806589e+01 -8.8880913e+01 9.9994767e-01 
9.7712415e+02 1.8583612e+01 -9.2177414e+01 9.9985266e-01 
1.0353218e+03 1.7969265e+01 -9.2680801e+01 9.9987561e-01 
1.0969858e+03 1.7632610e+01 -9.4020256e+01 9.9996966e-01 
1.1623225e+03 1.6929209e+01 -9.4672966e+01 9.9998724e-01 
1.2315506e+03 1.6664463e+01 -9.6945335e+01 9.9995917e-01 
1.3049020e+03 1.5811367e+01 -9.7267570e+01 9.9994916e-01 
1.3826222e+03 1.5663726e+01 -9.9951187e+01 9.9994344e-01 
1.4649714e+03 1.5488529e+01 -9.7749306e+01 9.9995577e-01 
1.5522254e+03 1.4287259e+01 -1.0189516e+02 9.9994200e-01 
1.6446762e+03 1.3609953e+01 -1.0379086e+02 9.9983436e-01 
1.7426334e+03 1.3148548e+01 -1.0558614e+02 9.9984270e-01 
1.8464249e+03 1.2455521e+01 -1.0680312e+02 9.9993563e-01 
1.9563983e+03 1.2558904e+01 -1.1038808e+02 9.9993306e-01 
2.0729218e+03 1.1566160e+01 -1.1119144e+02 9.9995840e-01 
2.1963854e+03 1.1125359e+01 -1.1258217e+02 9.9981052e-01 
2.3272025e+03 1.0320922e+01 -1.1325757e+02 9.9991506e-01 
2.4658111e+03 9.9527292e+00 -1.1691762e+02 9.9989563e-01 
2.6126752e+03 9.1744308e+00 -1.1680198e+02 9.9994665e-01 
2.7682866e+03 8.5276251e+00 -1.2017677e+02 9.9996334e-01 
2.9331663e+03 7.6255207e+00 -1.2427748e+02 9.9996960e-01 
3.1078662e+03 7.0198383e+00 -1.2639058e+02 9.9981540e-01 
3.2929713e+03 5.7870064e+00 -1.2991277e+02 9.9993318e-01 
3.4891012e+03 4.8446412e+00 -1.2820171e+02 9.9992770e-01 
3.6969127e+03 4.0373554e+00 -1.2963606e+02 9.9998140e-01 
3.9171015e+03 3.1716504e+00 -1.3161496e+02 9.9998420e-01 
4.1504048e+03 2.4436879e+00 -1.3209062e+02 9.9999774e-01 
4.3976036e+03 1.3017071e+00 -1.3521481e+02 9.9994165e-01 
4.6595257e+03 1.3617298e-01 -1.3879422e+02 9.9989140e-01 
4.9370479e+03 -2.0505607e+00 -1.3856667e+02 9.9994045e-01 
5.2310993e+03 -3.8771939e+00 -1.3332225e+02 9.9996245e-01 
5.5426645e+03 -5.8849821e+00 -1.2483971e+02 9.9993420e-01 
5.8727866e+03 -5.8412838e+00 -1.0057800e+02 9.9987036e-01 
6.2225708e+03 -3.0529137e+00 -9.6091293e+01 9.9995506e-01 
6.5931883e+03 -1.1555859e+00 -1.0860936e+02 9.9994087e-01 
6.9858797e+03 -1.9583212e+00 -1.2379571e+02 9.9989665e-01 
7.4019600e+03 -3.0969911e+00 -1.3386482e+02 9.9989039e-01 
7.8428221e+03 -5.4958639e+00 -1.4279939e+02 9.9988824e-01 
8.3099419e+03 -7.9991679e+00 -1.3999268e+02 9.9988973e-01 
8.8048836e+03 -1.2157580e+01 -1.3803342e+02 9.9991447e-01 
9.3293040e+03 -1.0837718e+01 -1.0253450e+02 9.9999565e-01 
9.8849590e+03 -9.8177080e+00 -1.2805078e+02 9.9986207e-01 
1.0473709e+04 -1.2256937e+01 -9.5265266e+01 9.9996138e-01 
1.1097525e+04 -9.1323395e+00 -9.6798035e+01 9.9990577e-01 
1.1758496e+04 -9.3174496e+00 -1.0961242e+02 9.9993354e-01 
1.2458834e+04 -9.4686899e+00 -1.0872270e+02 9.9999803e-01 
1.3200884e+04 -1.0916589e+01 -1.0937745e+02 9.9995494e-01 
1.3987131e+04 -1.0320195e+01 -1.1265800e+02 9.9992722e-01 
1.4820207e+04 -1.1515681e+01 -1.1270464e+02 9.9991173e-01 
1.5702901e+04 -1.1768733e+01 -1.1229079e+02 9.9991822e-01 
1.6638169e+04 -1.2864813e+01 -1.0254742e+02 9.9992537e-01 
1.7629141e+04 -8.1314583e+00 -9.3252838e+01 9.9996632e-01 
1.8679136e+04 -7.2294607e+00 -1.4029077e+02 9.9999166e-01 
1.9791669e+04 -1.1824333e+01 -1.3097505e+02 9.9994713e-01 
2.0970464e+04 -1.3637983e+01 -1.7169254e+02 9.9986976e-01 
2.2219469e+04 -1.3625018e+01 -1.4519371e+02 9.9994528e-01 
2.3542864e+04 -1.6261629e+01 -1.3210565e+02 9.9997765e-01 
2.4945081e+04 -1.2032962e+01 -1.6968082e+02 9.9987209e-01 
2.6430815e+04 -1.5412811e+01 -1.2833119e+02 9.9996811e-01 
